name,Complexity,Copy Number
bipolebridgepseudobarberpole_synth.rle,182.78318915945798,1
bitingoffmorethantheycanchew.rle,22.66663333166658,9
60p33_synth.rle,83.87604380219011,20
transcarrierupontable.rle,12.0,2
bitingoffmorethantheycanchew_synth.rle,162.5282764138207,1
bitingoffmorethantheycanchewextended.rle,31.333466673333664,9
transblockonlonghook_synth.rle,125.1499574978749,11
verylongmelusine.rle,12.0,7
blinkerpuffer1_synth.rle,222.8212410620531,1
transboatamphisbaena.rle,16.0,6
tubwithtailsiamesesnake.rle,15.0,5
transboatlinetub.rle,15.0,3
transmangowithtail.rle,16.0,15
blockonboat.rle,11.0,6
snakesiameseverylongsnake.rle,16.0,6
78p70_synth.rle,222.131206560328,12
transcarrierdownontable.rle,17.0,2
verylongprodigal.rle,14.0,6
blockade_synth.rle,89.53192659632981,1
blockonboat_synth.rle,56.11180559027951,1
blockandcap.rle,11.0,1
blockontable.rle,11.0,40
tableandtable_synth.rle,97.16105805290265,9
transcarriertie.rle,17.0,11
tubwithtailwithcape.rle,19.0,6
blockandcap_synth.rle,128.53147657382868,1
tubwithtwodowncistails.rle,15.0,7
blockontable_synth.rle,47.014800740037,1
blockanddock.rle,20.0,4
blockstacker.rle,2584.843092154608,19
teardropwithcape.rle,20.0,7
transboatondock.rle,17.0,19
transshipontable.rle,17.0,7
blockedp4tnosehybrid.rle,39.74998749937497,4
blockanddock_synth.rle,109.04265213260662,1
tubwithtwodowntranstails.rle,15.0,7
tubwithtwoupcistails.rle,16.0,8
blockandglider.rle,11.001950097504874,16
56p29_synth.rle,161.60938046902345,5
tableandtable.rle,12.0,9
transbargewithnine.rle,14.0,10
translongbargewithtail.rle,15.0,6
blocker_synth.rle,27.396769838491924,99
blonker.rle,21.833241662083104,17
blockandtwotails.rle,14.0,1
transbeacondownonlonghook.rle,15.500025001250062,5
tubwithtwouptranstails.rle,17.0,7
twelveloop.rle,20.0,17
blocklayingswitchengine.rle,40.182209110455524,50
blockandtwotails_synth.rle,80.07745387269364,1
empty.rle,1.0,257
20p4.rle,22.25001250062503,11
boat.rle,10.0,843
centuryeatersl.rle,22.0,15
superpond.rle,15.0,11
teardropwithclaw.rle,20.0,9
