index,name,Complexity,Memetic Copy Number,Object Discovery Year
603,blinkersbitpole.rle,19.500025001250066,9.0,1977
1485,pentoad.rle,22.79993999699985,31.0,1977
2102,whynot.rle,19.0,28.0,1977
1757,sixtynine.rle,46.74998749937497,16.0,1978
1111,harbor.rle,47.20006000300015,14.0,1978
1062,gourmet.rle,57.37501875093754,28.0,1978
1344,octagon4.rle,29.250362518125904,9.0,1979
1554,p29prepulsarshuttle.rle,51.27716385819291,19.0,1980
1292,middleweightemulator.rle,24.499974998749934,23.0,1980
1019,eureka.rle,30.432621631081552,27.0,1980
1115,heavyweightemulator.rle,23.75003750187509,36.0,1980
1239,lightweightemulator.rle,22.499974998749934,17.0,1980
1103,heart.rle,27.79998999949997,18.0,1982
1574,p47prepulsarshuttle.rle,69.19085954297715,24.0,1982
1901,tricetongs.rle,20.33336666833341,11.0,1982
2007,twoprelhasslers.rle,40.3747187359368,5.0,1983
1982,tumblingttetson.rle,34.250162508125406,9.0,1983
398,introvert.rle,44.69993499674984,7.0,1983
1557,prepulsarshuttle26.rle,107.92179608980447,3.0,1983
549,blinkerpuffer1.rle,20.10345517275864,16.0,1984
1190,jack.rle,35.25006250312516,13.0,1984
1612,sailboat.rle,69.12495624781239,11.0,1984
811,carnivalshuttle.rle,43.250162508125406,18.0,1984
1393,p36toadhassler.rle,60.25001250062503,10.0,1984
3546,pentadecathlonsjostlingtwoblocks.rle,36.20026001300065,4.0,1984
1133,hectic.rle,72.46652332616631,12.0,1984
345,6bits.rle,49.79968998449922,21.0,1984
1836,stillater.rle,21.666683334166702,14.0,1985
2411,pulshuttlev.rle,62.099154957747885,4.0,1985
1552,p55prepulsarhassler.rle,89.48947447372369,7.0,1986
1195,jam.rle,16.999949997499876,59.0,1988
427,achimsp4.rle,33.74998749937497,21.0,1988
1301,mold.rle,15.0,141.0,1988
482,bakersdozen.rle,37.2499624981249,15.0,1989
3164,tempest.rle,18.50012500625031,9.0,1989
610,bigglider.rle,43.01265063253162,13.0,1989
1962,triplecaterer.rle,33.000050002500124,7.0,1989
1063,fumarole.rle,19.8000400020001,89.0,1989
944,doublecaterer.rle,39.33336666833341,8.0,1989
1715,shortkeys.rle,19.0,20.0,1989
2016,twirlingttetsons2.rle,47.93264663233161,19.0,1989
1984,statorlessp6.rle,32.666683334166706,9.0,1989
826,caterer.rle,16.999949997499876,137.0,1989
1994,turningtoads.rle,42.25001250062503,6.0,1989
1974,turtle.rle,0.144257212860643,29.0,1989
1989,84p3h1v0.1.rle,13.217110855542776,11.0,1989
1842,tnosedp4.rle,31.24991249562478,54.0,1989
547,bentkeys.rle,18.33336666833341,19.0,1989
1351,oddkeys.rle,17.66668333416671,12.0,1989
3534,p165glidershuttle.rle,88.45377268863443,5.0,1989
1299,monogram.rle,19.499974998749934,27.0,1989
70,119p4h1v0.rle,57.11110555527776,18.0,1989
2140,106p135.rle,71.97664883244163,11.0,1989
168,25p3h1v0.1.rle,0.0364018200910045,40.0,1989
363,64p2h1v0.rle,0.2919645982299115,18.0,1989
2118,windmill.rle,42.49992499624981,9.0,1989
888,cross.rle,23.66653332666633,131.0,1989
1762,skewedtrafficlight.rle,47.66653332666633,6.0,1989
81,1234.rle,23.500025001250066,787.0,1989
1320,newfive.rle,27.0,2.0,1990
780,twoblockershasslingrpentomino.rle,41.12495624781239,17.0,1990
1388,p94s.rle,1972.6327316365816,12.0,1990
2508,crystallizationanddecayoscillator.rle,123.14930746537328,5.0,1990
1125,gunstar.rle,428.521576078804,23.0,1990
1888,tlogtgrowth.rle,2751.089354467724,5.0,1990
3263,22p4.3.rle,23.500075003750187,9.0,1990
1209,loaflipflop.rle,63.4007200360018,6.0,1990
26,10enginecordership.rle,181.01420071003548,12.0,1991
247,44p5h2v0.rle,12.031501575078751,28.0,1991
2547,p856glidergun.rle,196.44637231861591,5.0,1991
1515,primer.rle,1385.3378168908446,32.0,1991
800,cabertosser1.rle,202.77063853192655,10.0,1991
59,13enginecordership.rle,167.06970348517424,18.0,1991
1636,sawtooth1.rle,583.3076653832692,6.0,1991
928,cordpuller.rle,369.41977098854943,3.0,1991
1873,switchwave.rle,193.99474973748687,11.0,1991
1468,parabolicsawtooth.rle,502.0367518375919,11.0,1991
2546,p808glidergun.rle,293.5737286864343,3.0,1991
1127,gunstar2.rle,325.3787689384469,6.0,1991
2540,p120basedprng.rle,201.10715535776788,5.0,1992
1651,sawtooth1163.rle,524.841592079604,7.0,1992
1132,hacksaw.rle,387.88514425721286,9.0,1992
1390,p44piheptominohassler.rle,71.36446822341117,21.0,1992
1665,sawtooth1846.rle,1043.1438571928595,5.0,1992
1337,nonmonotonicspaceship1.rle,30.04930246512325,9.0,1992
170,25p3h1v0.2.rle,22.98334916745837,25.0,1992
695,20p4.rle,22.25001250062503,11.0,1992
1675,sawtooth362.rle,305.76118805940297,5.0,1992
1583,pushalong1.rle,30.04135206760338,17.0,1992
1931,70p2h1v0.1.rle,0.2010100505025251,14.0,1992
916,dart.rle,0.0542027101355067,43.0,1992
1211,laputa.rle,24.0,9.0,1992
319,70p5h2v0.rle,23.055702785139257,17.0,1992
1596,ringoffire.rle,74.99994999749987,6.0,1992
1911,toaster.rle,33.99994999749988,21.0,1992
1724,sidecar.rle,0.0706035301765088,36.0,1992
1295,middleweightvolcano.rle,37.400070003500176,33.0,1992
763,brain.rle,0.3368668433421671,76.0,1992
1681,sawtooth633.rle,765.2601630081504,5.0,1992
64,117p9h3v0.rle,20.189409470473525,15.0,1992
341,60p3h1v0.3.rle,21.37646882344117,8.0,1992
1164,hivenudger.rle,7.08530426521326,26.0,1992
1166,hivenudger2.rle,76.22266113305665,5.0,1992
1806,sparky.rle,22.15875793789689,24.0,1992
1678,sawtooth562.rle,291.5633281664083,3.0,1992
594,blinkerpuffer2.rle,14.232761638081904,6.0,1992
1253,logt2growth.rle,790.2077603880193,5.0,1992
2111,wickstretcher1.rle,203.29601480074004,12.0,1992
972,edgerepairspaceship1.rle,9.02595129756488,25.0,1992
1017,fly.rle,92.94629731486576,28.0,1992
2152,x66.rle,15.037201860093004,26.0,1992
1384,p50glidershuttle.rle,90.46002300115003,10.0,1992
1169,infinitegliderhotel.rle,631.2097104855243,23.0,1992
2515,gliderpusher.rle,41.60358017900895,8.0,1993
448,aforall.rle,27.33321666083304,10.0,1993
2712,bracketpulsar.rle,30.333266663333166,13.0,1993
738,boatstretcher1.rle,53.01045052252612,7.0,1993
2713,bracketquasar.rle,76.66653332666633,5.0,1993
2134,wingspaceship.rle,25.09435471773589,9.0,1993
1316,orion.rle,9.424421221061053,30.0,1993
974,electricfence.rle,84.1999599979999,12.0,1993
369,7enginecordership.rle,147.01345067253362,14.0,1993
3584,xp2_k3g44gljz11.rle,19.0,2.0,1993
1768,slowpuffer1.rle,86.72613630681533,10.0,1993
1821,star.rle,26.33316665833292,110.0,1993
1770,slowpuffer2.rle,51.2269613480674,10.0,1993
1765,spacefiller1.rle,753.7169358467924,5.0,1993
890,cross2.rle,37.66663333166658,11.0,1993
1016,enterprise.rle,32.08040402020101,15.0,1993
1352,mutteringmoat1.rle,19.99994999749988,8.0,1993
1422,p48toadhassler.rle,152.50022501125056,10.0,1994
761,bottle.rle,44.749837491874594,20.0,1994
2808,fourblinkersaroundfourblocks.rle,26.66678333916696,8.0,1994
1437,p58toadsucker.rle,152.15715785789288,10.0,1994
1392,p124lumpsofmuckhassler.rle,88.58212910645531,14.0,1994
1390,p44piheptominohassler.rle,71.36446822341117,21.0,1994
1386,p110trafficjam.rle,239.91854592729635,6.0,1994
1735,shipinabottle.rle,45.81234061703085,6.0,1994
1922,trafficcircle.rle,109.03995199759989,11.0,1994
1425,p50trafficjam.rle,60.32006600330016,9.0,1994
402,achimsotherp16.rle,83.50037501875093,14.0,1994
1608,rumblingriver1.rle,58.33336666833341,4.0,1994
2109,p200trafficjam.rle,213.4303215160758,5.0,1994
2186,twinbeesshuttleshasslingblinker.rle,72.3175658782939,4.0,1994
412,achimsp144.rle,50.34396719835991,24.0,1994
1785,smiley.rle,19.624931246562326,26.0,1994
